2015check
shot timeid ip bt r a kappa tri_ave square neped m z betan zeffped m_imp z_imp teped ptotped wid_sny tewid quality tokamak topic runid
131996 3000 1.1621 2.0995 1.6984 0.5778 1.8017 0.2075 0.00 4.0101 2 1 1.8034 1.4429 12 6 700.03 8.1636 0.0442 0.0487 7 d3d eped1_exp e7595
131997 3000 1.4861 2.1038 1.6946 0.5784 1.8067 0.1973 0.00 6.3556 2 1 1.8240 1.6092 12 6 596.54 10.2619 0.0462 0.0537 8 d3d eped1_exp e7595
131999 3000 1.4870 2.0988 1.6954 0.5788 1.8066 0.1977 0.00 5.8760 2 1 1.8513 1.6025 12 6 592.04 10.7064 0.0335 0.0317 7 d3d eped1_exp e7599
132000 3000 0.8316 2.0965 1.7007 0.5749 1.8019 0.2237 0.00 2.7595 2 1 1.8697 1.4128 12 6 643.78 5.5599 0.0286 0.0262 7 d3d eped1_exp e7595
132002 3000 0.5180 2.0819 1.7115 0.5607 1.8649 0.2652 0.00 2.2784 2 1 2.0132 1.5077 12 6 629.99 4.5615 0.0680 0.0659 8 d3d eped1_exp e7595
132003 3000 1.1586 1.6247 1.6973 0.5782 1.8020 0.2040 0.00 4.8299 2 1 2.0823 1.8582 12 6 439.88 5.6722 0.0344 0.0337 8 d3d eped1_exp e7595
132006 3000 0.8208 1.1667 1.6973 0.5747 1.8057 0.2161 0.00 3.8951 2 1 2.0130 2.0846 12 6 370.48 3.6974 0.0511 0.0581 6 d3d eped1_exp e7595
132007 1300 0.4975 0.6986 1.7115 0.5605 1.6893 0.1993 0.00 2.7078 2 1 2.1812 2.3927 12 6 193.55 1.6787 0.0533 0.0540 4 d3d eped1_exp e3099
132009 3000 1.1633 2.1004 1.6958 0.5776 1.8063 0.2527 0.00 4.9031 2 1 1.8991 1.5371 12 6 621.08 9.4827 0.0503 0.0527 6 d3d eped1_exp e7595
132010 3000 1.1653 2.1020 1.6935 0.5775 1.8107 0.2979 0.00 5.8929 2 1 1.9989 1.6030 12 6 611.53 11.4553 0.0494 0.0486 4 d3d eped1_exp e7595
132011 3000 1.1660 2.0996 1.6944 0.5749 1.8210 0.3489 0.00 6.0111 2 1 1.9637 1.6593 12 6 663.00 11.5254 0.0464 0.0467 4 d3d eped1_exp e7595
132014 3000 1.1727 2.1098 1.6847 0.5977 1.8276 0.5654 0.00 4.1453 2 1 2.4206 1.8872 12 6 1211.71 15.8394 0.1002 0.0832 5 d3d eped1_exp e7595
132016 3000 1.4947 2.1154 1.6817 0.5949 1.8496 0.5721 0.00 5.4846 2 1 2.1326 2.0027 12 6 1100.72 15.6717 0.0750 0.0634 7 d3d eped1_exp e7595
132017 2100 0.8651 2.1269 1.6714 0.5924 1.8279 0.5665 0.00 3.9335 2 1 2.4088 1.5034 12 6 1069.45 12.2766 0.0691 0.0686 3 d3d eped1_exp_jrt f6599
132018 2000 0.5247 2.1130 1.6844 0.5905 1.7867 0.5559 0.00 3.4074 2 1 2.4861 1.5403 12 6 801.78 8.4105 0.0929 0.0863 2 d3d eped1_exp e6599
132019 1600 1.1707 1.6402 1.6714 0.5945 1.8302 0.5648 0.00 5.4050 2 1 2.2618 2.4305 12 6 691.16 11.8440 0.0533 0.0506 3 d3d eped1_exp e5595
